@relation finished-data
@attribute tweets string
@attribute feeling{Negative,Positive}

@data
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Ay buraya sevgilim beni terk etse bayýlma numarasý yaparým filan yazýyosunuz bakýn ayýptýr bu bana yapýldý bu yalnýz AYIPTIR BU..........',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Bugün de çok seviyorum sevgilim',Positive
'Mustafa Topaloðlu - Gerizekalý Sevgilim aracýlýðýyla OFOFOFOF',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'son 2 yýldýr hiç sevgilim yok, aþýk olduðum kadýn sayýsý 1 keþke bende sizler gibi her önüme geleni hayatýma sokabilsem',Positive
'Sevgilim beni böyle mi beðenir ? Yoksa böyle mi ?',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sizce Güzel Yorumlarýnýzý Haketmiyormu Caným Sevgilim Benim..',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Canim sevgilim',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Söyle Sevgilim kim kýrdý kalbini',Negative
'Çocuðunuza prensesim, paþam, sevgilim demeyin!',Negative
'sorma be sevgilim..',Negative
'Tamam sevgilim deðilsin ama bu; Seni sevmediðim, kýskanmadýðým, özlemediðim anlamýna gelmez, gelemez.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Dünyaya bir daha gelsem sevgilim, arar bulurum yine seni severim ????',Negative
'Herþey izafi hayal sevgilim',Positive
'Ceplerim esrar dolu gidiyorum kumara, dünyalarý kaybettim gülüþün on numara.Bir resmin vardý sevgilim, astým bir duvara, baktýkça canlanýyo',Negative
'adresinden görsel.',Negative
'Sevgilim adrenalini severim deyince ben',Negative
'Unutma beni ne olur sevgilim',Positive
'Benim sevgilim benim lafýmý ciddiye alacak. Eðer ciddiye almazsa , bende ciddiye alacak baþkasýný bulurum.',Positive
'Yýllar önce nerdeydinn çok geciktik sevgilim.. Her zaman',Negative
'tabi sevgilim baþka kime olacak ??',Positive
'Sevgilim erkek erkeðe tabi ki bir yerlere gidebilir mesela askere.',Negative
'Günaydýn sevgilim.',Negative
'Beraber uyuyalým sevgilim. Sen benim saçlarýmla oyna ben senin göðsünde huzur bulayým.',Negative
'Beni sen akþamcý ettin hayal sevgilim ElindeKuranDilindeYalan',Positive
'tabi sevgilim baþka kime olacak ??',Positive
'Hayal sevgilim ElindeKuranDilindeYalan',Positive
'bugun de hicbir sosyal agda hesabi bulunmayan bi sevgilim olmadi neyse yarin olur insallah',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Her kýz sahiplenmek ister ve benim beni sahiplenen bir sevgilim vaar ??',Positive
'Benim elizabeth taylora benzeyen eski sevgilim vardi',Positive
'Çocuðunuza prensesim, paþam, sevgilim demeyin!',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. /Nazým Hikmet/',Negative
'ya beyler þu eski sevgilim dersin havan olur havanýzdan vazgeçin ben bunu bir arkadasýma desem bunu mu sevdin amk kýzý diye tepki alýrým',Positive
'Sana o kaþardan hayýr gelmez benim nur yüzlü eski sevgilim shsnsjsjajsjajjssssjsjaajakajajjajakqk',Positive
'Gel Bir barikatta buluþalým sevgilim Ellerimizde Tutuþsun özgürlük ateþi ..',Positive
'Mutluluk istedim sadece senin için mutlu ol sevgilim benim için',Positive
'Rahat takýlýyo istediðinizi yapýyo diye kamyon þoföründen farký kalmamýþ kýzlarý sevgilim diye yanýnýzda dolaþtýrýyosunuz yazýklar olsun',Positive
'Allahým sevgilim kötü yola düþtü :(.....',Positive
'Sevgilim olunca borsaya bildircem, yüzyýlýn transferi sonuçta belgelemeden olmaz.',Negative
'Artýk kaçabiliriz sevgilim :) BeyazYalan',Positive
'Sen benim sevgilim olsan instagramýnda foto kalmaz neden bahsediyosun',Positive
'Uyumak ne kadar güzel ya. Eskiden sevgilim konuþalým diye uyutmuyodu. Of eskiden sevgilim vardý.shajdjxnnb',Positive
'ULAÞILMAZLAR ASLINDA ÖYLESÝNE GÜZELDÝR KÝ ÝÞTE BUDUR ÝSTEÐÝ TUTKU YAAPN ULAÞILMAZ OLDUÐUN ÝÇÝN TUTKUNUM SANA... SEVGÝLÝM',Negative
'eski sevgilim hala facebook þifresini deðiþmemiþ',Positive
'Günaydýn sevgilim',Positive
'Ve bu hayatýn, bana öðrettiði tek bir þey var sevgilim: Hiçbir þey için geç kalmýyor insan, korkuyor sadece...',Positive
'Al kanka benden yaz sevgilim yok sarjim bitmiyo zaten.',Negative
'Ateist sevgilim kimseyle konusmadigina dair yemin etti??????canim sevgilim sana guveniyorum??????',Positive
'Ulan ben Türk olmadýðým için deðil sevgilim beni terk eti diye mutsuzum :)',Positive
'benim eski sevgilim niye anneme mesaj atmýyo ne güzel konuþurduk aaa ben onu býraktým ama anneme mesaj atýyo diye',Positive
'pis bir çöp ????? aynada ki ben INEEDU sevgilim',Positive
':) evet istemezmisin böyle bi sevgili :D herkez ister... — benim zaten çok ama çoookkk sevdiðim bir sevgilim var...',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'HeY bEnÝm HaSrEt KoKaN sEvGiLiM bU aYrIlIyA dAyAnIr Mý YuReK?GeL dEsEm GeLeMeZsIn BiLiYoRuM aMa BeN sEnÝ yAsIyOrUm SeNiNlEyIm TeK… uluç',Negative
'Canýmýn en içinde hissediyorum seni be sevgilim , iyiki benimsin',Positive
'Ve sýradaki þarký benden bana geliyor çünkü biliyorsunuz sevgilim yok hala aq',Positive
'Ne Olursa Olsun Hiç Býrakma Yerde Ellerimi SevgiliM___?',Negative
'BEÞÝKTAÞIM BENÝM BÝRÝCÝK SEVGÝLÝM SÖYLE SENDEN BAÞKA KÝMÝM VAR BENÝÝÝÝÝMMM ????',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'sen yoksun diye inan dertliyim kederliyim gelmezsen kahrolurum yýkýlýrým sevgilim',Positive
'Yani diyosun ki; Sen zaten elimdesin seni kaybetmeyeyim onu da cok seviyorum o da sevgilim olsun falan.',Positive
'sayroþ þevgilim',Negative
'Ýyi ki doðdun sevgilim??',Negative
'Sevgilim olmasýna en yakýn olduðum an komik tivitlerinizi okurken telefona bakarak sýrýttýðým an. Dýþarýdan sevgilim var gibi duruyo.',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Sevgilim! Ferhat olmana gerek yok; Bin dolmuþa gel..',Negative
'sevgilim olucaksada twitteri iyi bilenlerden olsun',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Anladým,biliyorum çünkü seven kýskanýr sevgilim.?????',Negative
'Ve sýradaki þarký benden bana geliyor çünkü biliyorsunuz sevgilim yok hala mk',Positive
'anlaþabilirdik sevgilim niye böyle yapýyosun :(:(:( kalsjflaflkfasaflkajflka',Positive
'Sevgilim Gazze mutlaka döneceðim - Orhan Orhun Ünal ve Ýsmail Ebu El-Ola yazdý -',Negative
'Kýz diyo sevgilim psikopat olsun ayrýlýrsam bana eziyet etsin, hey gidi heyy',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Bi iskoç sevgilim olsa da etek boyuna karýþsam',Positive
'sevgilim yok gadchbnj',Positive
'þu yaþ tahmin uygulamasýný yaptým: ben gamlý hazan sense bahar çýktýn sevgilim',Positive
'Okan benim sevgilim mi :DDDDD düþman baþýna lan hananannanannanan',Positive
'Sevgilim yok beyler.',Negative
'Sevgilim süpriz doðumgünü yapmakta üstüne yok ?? daha nice yýllara beraber girmek dileðimle üfledim…',Negative
'acaba sevgilim beni aldatýyor mu ? düþüncesiyle kendinizi yiyip bitirmeyin. size bunu düþündüren insan aldatýyordur zaten.',Positive
'Sevgilim yok, mesaj ataným yok, azýcýk hoþlanan biri bile yok. Ot gibi yaþýyorum.',Negative
'Mektup yazacak bi sevgilim bile yoktu. Ben de ziya kankime yazdým',Positive
'Gerçegi sayende gördüm tesekkur ederim, içi boþ kalbini tattým ne yazikki sevgilim ????',Positive
'Masallarda ki bir yokmuþ da sensin sevgilim..',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'sýrf daha çok kisiye ulaþsýn diye yoksa sevgilim yok yani ahahahamk',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Sevgilin kim — sevgilim yok',Positive
'Adýnýn benim için hiçbir þey ifade etmeyeceði günü sabýrsýzlýkla bekliyorum sevgilim...',Negative
'Canýmdan çok sevdiðim bir sevgilim var ne ders ne basketbol sikimde deðil',Positive
' sevgilim.',Negative
'Canýn çektiyse durma çosss cag kebap :) Bir pazar kebabý gibi sevgilim öyle güzel öyle nefis ahahaha',Positive
'sen benim için yaratýlmýþsýn sevgilim uzatma.',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi; bir bekleyenim var de gel. Nazým Hikmet',Negative
'sevgilim çiçekle deðil çiðköfteyle gelmeli,bizde iliþki böyle',Positive
'Sevgilim olunca borsaya bildircem, yüzyýlýn transferi sonuçta belgelemeden olmaz.',Negative
'Bizim kadar gezen bir çift yok diye isyan eden bir sevgilim var ?? ne yapalým ama ben gezmeyi seviyorum ??',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi; bir bekleyenim var de gel. Nazým Hikmet',Negative
'Sevgilim varken ben',Negative
'madonna 55, sevgilisi 22 yaþýnda. jennifer lopez 43, sevgilisi 26 yaþýnda. yani sevgilim yok diye üzülmeyin, daha doðm…',Positive
'Mesafeler halt etmiþ sevgilim yanýma gelmiþ ??????????',Positive
'Sevgilim varken ben',Negative
'Eski sevgilim instagram profilimde gezerken yanlýþýkla fotorafýmý beðenmiþ hafiften yaþýyo galba ????',Positive
'söylesene sevgilim',Positive
'Hapþurdugunda benimle yasa diyen bi sevgilim var Ya sen ne kadar sevimli bir insansýn ;(',Positive
'sevgilim tabi ki mini etek giyebilir kýskanman ki ben modern bi erkeðim',Positive
'Mesafeler halt etmiþ sevgilim yanýma gelmiþ ??????????',Positive
'SEVGÝLÝM BENÝ EVE ÇAÐIRINCA',Negative
'Canýmýn en içinde hissediyorum seni be sevgilim , iyiki benimsin',Positive
'Unutma sevgilim, mesafeler aþka engel deðildi, Ve aþk senle olunca, dünya yaþanmayacak yer deðildi… Davut Yýlmaz',Negative
'Dur þu tiviti de atayým da sevgilim var sansýnlar:):):) hahaha',Positive
'Aþkým erotik film izleyelim mi ? Peki sevgilim ama hemen bana saplama tamam mý ? Aþkým ya bi fimi de çýplak izlemeyelim hemen soyunuyorsun.',Positive
'Sevgilimle yemeðe gitmek için yeni elbise,yeni topuklu ayakkabý,ruj fln aldým ama çok önemli biþeyi unuttum;Benim Sevgilim Yok??????????',Negative
'Biriktirdiðimiz onca güzel anýmýz var ki hepsi için ayrý ayrý teþekkür ederim sevgilim ??',Positive
'BEÞÝKTAÞým benim biricik sevgilim söyle senden baþka kimim var benimm',Positive
'sevgilim#mutlulugum#geleceðim# herseyim#ôlüme inat',Negative
'sevgilim baþka kýzýn götüne bakýnca bana bildirim gelsin istiyorum. ayar favý atarým.',Positive
'Ben alýþveriþ yapýyorum sevgilim benim kýyafetimi yukarý kaldýrýp fotoðraf çekiyor :)',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Nessliiyaaann sevgilim aþkm nerdesiiiðnnn birtaneðm nerdesiiðnnnn??',Positive
'Börgýr kingte çalýþan sevgilim olsada vapur mönü yesem',Positive
'Unutan sen ol sevgilim, ben yeminliyim unutmamaya',Negative
'madonna 55, sevgilisi 22 yaþýnda. jennifer lopez 43, sevgilisi 26 yaþýnda. yani sevgilim yok diye üzülmeyin, daha doðmamýþ olabilir.',Positive
'SEVGÝLÝM, AÝLEM GÝBÝ.',Negative
'Sevgilim (at in Kütahya)',Negative
'Eski sevgilim nisanlaniyor bi miktar huzunlendim',Positive
'Sevgilim yeminliyiim, sana ben tövbeliyiimm..',Negative
'Günaydýn sevgilim yok.',Positive
'Ben alýþveriþ yapýyorum sevgilim benim kýyafetimi yukarý kaldýrýp fotoðraf çekiyor :)',Positive
'Þansým.. Umudum.. Heycaným.. Ýçimi titretenim.. Ömür yarým.. Sevgilim.. Meleðim.. Ne güzel kelimeler deðil mi ? Bolca kul…',Negative
'Saçmalamayýn tabiki de istemediðim için sevgilim yok xjdjfnsdn',Positive
'SEVGÝLÝM, AÝLEM GÝBÝ.',Negative
'@elekberaj: Papua Yeni Qvineyada mü?llim olmaq istiyir?m arzuya bax sevgilim tell?rind?n inc? mi söyl? ür?yinc? mi ??????',Positive
'Hoþçakal sevgilim.',Negative
'Sevgilim tabikide twitter instagram falan kullanabilir kimseyi takip etmeden.',Negative
'Oooo eski sevgilim niþanlanýyormuþþþ',Positive
'Günaydýn telefonum sevgilim olduðunu düþünüyor günaydýn ????',Positive
'pis bir çöp ????? aynada ki ben INEEDU sevgilim',Positive
'Gitmekteyim sevgilim ben kendine iyi bak ????',Positive
'Suçlu olunca sevgilim O??????',Positive
'Çocuðunuza prensesim, paþam, sevgilim demeyin!',Negative
'Üzgünüm sevgilim anlaþamadýýýk Siyah Beyaz aþký paylaþamadýýk BesiktasýnMacýVar',Positive
'Eski sevgilim de olsa laf söyletmem zamanýnda sevdim çünkü.',Positive
'söylesene sevgilim',Positive
'10.48/09.06 trenleri gibisin sevgilim öyle saçma ama bi o kadar da güzel??',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Asosyalim Beni kimse sevmiyo Derslerim kötü Ama kahretsin gülüþüne aþýk olduðum bi sevgilim var',Positive
'Kýz gelmiþ diyor ki sevgilim olunca sigarayý býrakýyorum, ayrýlýnca yeniden baþlýyorum.Yani illa o aðýzda bir þeyler olacak dim…',Positive
'Kýz gelmiþ diyor ki sevgilim olunca sigarayý býrakýyorum, ayrýlýnca yeniden baþlýyorum.Yani illa o aðýzda bir þeyler olacak dim…',Positive
'Eðer beni bu sokakta, bu mahallede, bu þehirde bulamazsan sevgilim bil ki ben, Gözlerinin daldýðý yerdeyim.',Positive
'Ben su an oturdum pazar sürprizi izliyorum sevgilim de bana pazar kahvaltisi hazýrlýyor özendiðiniz hayatý yaþamakla meþgulüm ses kes ??',Positive
'Yeni Sevgilim Var Çok Mutluyum Demiþsin , Þunu Unutma ; - Kurtun Býraktýðýný Her Zaman Çakallar Kapar . . !',Negative
'Rüyamda eski sevgilim de gerekli ifadeyi vermeyi reddettiði için tutuklanýyordum. Aldýðým ahlarýn deriþimini azaltsam iyi olacak.',Positive
'Nazende Sevgilimi Ýrem Dericiden dinleyen zevksiz arkadaþlara sesleniyorum bir de Figen Gençten dinleyin farký göreceksiniz',Negative
'Eski sevgilim (temsili)',Positive
'evet sevgilim öðretmen ve sýnavda görevli ordan biliyorum SEVGILIM YANI SEVGILIM VARYA BENIM',Positive
'bakýþlarýndan bir tutam alýp saklamak istiyorum sevgilim, bunun mümkün olacaðý yerlere gidelim lütfen.',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'Sevgilim olsada ayrýlsam',Negative
'Sevgilim kýz arkadaþlarýyla kýz kýza bi yerlere gidebilir; mesela kýsrak saðýp kýmýz mayalamaya.',Negative
'Eski sevgilim de olsa laf söyletmem zamanýnda sevdim çünkü.',Positive
'Sharks are dancing around me sevgilim.',Negative
'Þu annemin bilip benim bilmediðim sevgilim kimse çýksýn ortaya olmuyor böyle ??',Positive
'Ben aslýnda twitýrda takýlýyorum kimse inanmýyor. Herkes sevgilim var sanýyo ?? saçmalýyolar.',Positive
'Sevgilim diye demiyorum hiç yoktur kendisi shsjsjsjsj',Negative
'Kýz gelmiþ diyor ki sevgilim olunca sigarayý býrakýyorum, ayrýlýnca yeniden baþlýyorum.Yani illa o aðýzda bir þeyler olacak dim…',Positive
'Kuþlarý boþ ver sevgilim, papatya koysunlar yoluna.',Negative
'olm kiþisel fotoðraflarýný karþýlýklý rtleyen çift mi olur ya þahsen sevgilim olursa kutuda beslemeyi düþünüyorum',Positive
'Caným orospu kerhanede çalýþan karýya denir, senden ayrýlan kýza deðil az adam ol da bi zamanlar Sevgilim dediðin kýza…',Negative
'benim sevgilim olcaktýn çünkü — hahahaaa güldürme beni ne kadarda çok emin kendinden..',Positive
'6. hissime göre bu hafta bir sevgilim olacak',Positive
'Anne sakin ol sevgilim yok mesaj komikti.',Positive
'aaa sevgilim fenomen olmuþ ??????',Positive
'...bu sözlerimi cennet ehline aynen ilet sevgilim devletin bekasýnýn da allah belasýný versin malboranýn da...',Negative
'yüzünden aysýn gün, yana yana vursun üstüme sevgilim.',Negative
'O kirpik hala bende sevgilim.',Negative
'günaydýn sevgilim',Positive
'Allah biliyo sevgilim olsa kýskançlýktan delireceðimi o yüzden vermiyo.',Positive
'Niye burayý açýp abuk sorulara cevap yazýyorsun. Üste... — Sevgilim uyuyor. Dun gece de o tank oynarken yazdým p...',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sevgilim günün bazý öðünleri seni unutmayý deniyorum',Negative
'SEVGÝLÝM BENÝ EVE ÇAÐIRINCA',Negative
'nesi mayýnlý burda sevgilim aþkým yok afsgs',Positive
'O deðilde, telefon elimden düþmüyor diye herkes sevgilim var sanýyor. Ona çok içerliyorum ya.',Positive
'fox tv aç sevgilim',Positive
'sevgilisi olunca her yere fotoðraf atanlara kýzmýyorum. Benim ilkokulda sevgilim olduðunda andýmýz töreninde kýzý kürsüye davet…',Positive
'Eski sevgilim bana kanka diye mesaj atiyoo .s.s.s',Negative
'ey taze tergülüm yadýma düþtün nazende sevgilim yadýma düþtün',Positive
'sesini çok merak ediyorum — Sevgilim þarký söyletir bana kaydederiz belki',Negative
'Sarhoþluðun bana verdiði yetkiye dayanarak seni sevgilim ilan ediyorum',Positive
'Vefasýz sevgilim alzheimer hastasý bile senin kadar çabuk unutmaz pes…',Positive
'-yalnýz benim sevgilim var +Ne yani kalede kaleci var diye gol atmicaz mi -nasýl yani? ??',Positive
'Bana dm atan böyle sapýklý amcalara bile sevgilim var deyip engel atýyorum. Niden beni üzüyorsunuz niden????????',Positive
'yemiþim sermayesini, serbest ticaretini filan. ben seni özlediðim zaman, Arjantinde bir çocuk aðlar. iþte asýl globalizas…',Negative
'Vefasýz sevgilim alzheimer hastasý bile senin kadar çabuk unutmaz pes…',Positive
'Aklýnda bulunsun sevgilim; Sen beni kandýrmadýn , Ben inanmayý seçtim... -Can Yücel',Negative
'Günaydýn.Bu sabahta yunan sevgilim olmadý efkardayým -_-',Positive
'Hayal sevgilim',Positive
'Performans ödevlerini yapan bi sevgilim olsa hoþ olur aslýnda',Positive
'bu sabah sevgilimle yaþadýðým tartýþmalar twittera kadar düþmüþ, konuya açýklýk getireyim: sevgilim yok. iyi bir pazar sabahý dilerim.',Positive
'Günaydýn sevgilim ne güzel bir gün deðil mi? Kahvaltýdan önce biraz daha seviþelim mi? þarkýsýndaki kahvaltýyým.',Positive
'ya caným sevgilim o bok gibi saclarla bile nasý guzelsin',Positive
'Sevgilim, Allah yarattý demem, çok severim. -Adem Özbay',Negative
'Tabi sevgilim sana ikinci bi þans vereyim de hayatýmýn daha önce gözden kaçýrdýðý taraflarýný da sik...',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Ne bir Cemal Süreya dizesi Ne bir Sezen sesi Ne de bir türkü sözü bizi buluþturmayacak sevgilim. Gelmeyeceðim hiç aklýna.',Negative
